ano_teste,codigo_unidade,nome_unidade,status_unidade,anos_historico,demanda_bruta_observada_2025,demanda_2024,prev_ppml_base_2025,prev_persistencia_2025,prev_ppml_cag_fem_2025,prev_ppml_cond_total_observado_DIAGNOSTICO,prev_persistencia_cond_total_observado_DIAGNOSTICO
2025,10001,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA TIA ANASTÁCIA,continuante,1,116,156,119.6119528867241,143.41539038778183,115.2001731619435,116.06360743441516,125.11485955480144
2025,10004,CP ESCOLA COMUNITÁRIA JARDIM BALÃO MÁGICO,continuante,1,38,65,50.87737055494525,59.75641266157579,48.97711163287909,49.36806916760778,52.131191481167285
2025,10005,CP CRECHE COMUNITÁRIA JARDIM PEDRA AZUL,continuante,1,26,41,32.966356143963175,37.69250644807087,31.72087697508167,31.98839351498237,32.88275154965935
2025,10006,CP CRECHE ESCOLA COMUNITÁRIA ISMÊNIA RIBEIRO,continuante,1,84,114,87.79955681618333,104.80355451414827,84.55008992024112,85.19494121862273,91.4300896746626
2025,10008,CP CRECHE COMUNITÁRIA JARDIM ESPERANÇA,continuante,1,92,95,73.44837173913737,87.3362954284569,70.7232832085773,71.26949087020883,76.19174139555217
2025,10009,CP JARDIM ESCOLA ERNESTO FAGUNDES VARELA,continuante,1,68,89,68.92392541263105,81.82031887508069,66.3641639038204,66.87926439514226,71.3796314126752
2025,10010,CP ESCOLA COMUNITÁRIA JARDIM ARCO-ÍRIS,continuante,1,95,109,84.01984773721698,100.20690738633476,80.90848460522885,81.5273590065599,87.4199980222651
2025,10011,CP CRECHE PINGUINHO DE GENTE,continuante,1,30,41,32.966356143963175,37.69250644807087,31.720876975081698,31.98839351498237,32.88275154965935
2025,10013,CP ESCOLA COMUNITÁRIA ENCANTO DE MARIA,continuante,1,53,64,50.12771305952725,58.83708323601308,48.25485335619771,48.64065061821866,51.32917315068777
2025,10014,CP CRECHE COMUNITÁRIA SÃO JOÃO BATISTA,continuante,1,54,48,38.16961544145805,44.12781242700981,36.733876513715565,37.0372956515091,38.49687986301584
2025,10018,CP CRECHE ESCOLA COMUNITÁRIA SÍTIO ALEGRE,continuante,1,244,210,160.62044514490344,193.0591793681679,154.7104357442195,155.85556327212353,168.42384940069425
2025,10019,CP ESCOLA COMUNITÁRIA JARDIM ALEXANDRINO,continuante,1,166,188,143.90268221494495,172.8339320057884,138.6034435860128,139.63374072800153,150.77944613014537
2025,10020,CP CASA MATERNAL NOSSA SENHORA DE NAZARÉ,continuante,1,112,119,91.58117310147928,109.4002016419618,88.19353455989565,88.86437405883258,95.44018132706007
2025,10022,CP ASSOCIAÇÃO DE MORADORES E AMIGOS DO PARQUE ESTORIL - AMAPE,continuante,1,203,210,160.62044514490344,193.0591793681679,154.7104357442195,155.85556327212353,168.42384940069425
2025,10023,CP CRECHE ESCOLA SOSSEGO DA MAMÃE,continuante,1,90,117,90.06830785982662,107.5615427908364,86.73594576611752,87.39638868387067,93.83614466610108
2025,10024,CP CRECHE COMUNITÁRIA MUNDO ENCANTADO DA CRIANÇA,continuante,1,170,217,165.9422028700973,199.49448534710683,159.83776841614713,161.01944852415107,174.03797771405075
2025,10026,CP CRECHE E ESCOLA COMUNITÁRIA GENTE BAIXINHA I,continuante,1,249,239,182.6743585181564,219.71973270948632,175.95863491130442,177.25523681954817,191.6823809845997
2025,10027,CP CRECHE CASULO AGOSTINHO - SANTA CRUZ,continuante,1,194,169,129.47576544649894,155.36667292009702,124.7036097513613,125.63480530481984,135.5410978510349
2025,10028,CP CRECHE CASULO AGOSTINHO - VERIDIANA,continuante,1,124,156,119.6119528867241,143.41539038778183,115.2001731619435,116.06360743441516,125.11485955480144
2025,10029,CP ASSOCIAÇÃO DE MORADORES DAS MORADAS DO IMPÉRIO,continuante,1,65,93,71.93976587894677,85.4976365773315,69.26980252951967,69.80563852013276,74.58770473459317
2025,10030,CP INSTITUTO AVELINO - GUARATIBA,continuante,1,93,100,77.22174307072886,91.93294255627043,74.3587758124657,74.93092334718597,80.20183304794966
2025,10032,CP CRECHE COMUNITÁRIA MUNDO MÁGICO,continuante,1,150,186,142.3835317177258,170.995273154663,137.13979446239753,138.15965655256784,149.17540946918635
2025,10033,CP PROJETO QUEBRA CABEÇA,continuante,1,69,76,59.13696347468956,69.86903634276553,56.93484540128648,57.38263733633533,60.95339311644174
2025,10034,CP OS BENEDITINHOS,continuante,1,134,163,124.92243377986205,149.8506963667208,120.3166342475768,121.2165503869713,130.72898786815793
2025,10035,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA CHAVE DO TAMANHO,continuante,1,139,74,57.63355439706991,68.03037749164012,55.48637820432478,55.92382760380441,59.34935645548275
2025,10036,CP CAAD DONA ZULMIRA TELLES,continuante,1,157,206,157.5799452666911,189.38186166591709,151.78101772587092,152.90526126841473,165.2157760787763
2025,10037,CP CAAD - COMITÊ DE ATENDIMENTO À CRIANÇA E AO ADOLESCENTE,continuante,1,71,82,63.651032199515,75.38501289614175,61.28395335091778,61.76279406620895,65.7655030993187
